Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
124,768,126,Aug 17,BOS,,BAL,W4-0,CG,4,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,.284,.390,.503,.893,1,.90,0.051,.22,0.01%,0.83,14.00,18.20,RF
125,769,127,Aug 18,BOS,,BAL,W13-7,CG,5,3,2,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,.285,.390,.504,.895,1,.95,0.035,.24,0.01%,0.77,13.00,18.90,CF
126,770,128,Aug 20,BOS,,PHI,L2-3,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.284,.390,.502,.892,1,1.79,-0.027,.58,-0.01%,-0.15,8.00,9.00,RF
127,771,129,Aug 21,BOS,,PHI,L2-5,CG,5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.283,.388,.501,.889,1,.98,-0.051,.25,-0.01%,-0.69,7.00,9.20,RF
128,772,130,Aug 23,BOS,@,SDP,W11-0,CG,5,4,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,.285,.388,.503,.891,1,.40,0.064,.06,0.01%,0.68,14.00,18.90,CF RF
129,773,131,Aug 24,BOS,@,SDP,W5-4,CG,5,5,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.286,.388,.504,.892,1,.98,0.083,.17,0.01%,0.71,10.00,12.50,CF RF
130,774,132,Aug 25,BOS,@,SDP,L1-3,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.285,.387,.501,.888,1,1.29,0.091,.31,0.01%,0.35,2.00,3.00,RF
131,775,133,Aug 27,BOS,@,COL,W10-6,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.282,.386,.497,.883,1,.34,-0.026,.07,0.00%,-0.70,2.00,3.00,RF
132,776,134,Aug 28,BOS,@,COL,W7-4,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.282,.384,.494,.878,1,.82,-0.056,.19,-0.01%,-0.65,3.00,3.00,RF
133,777,135,Aug 30,BOS,@,LAA,W7-6,CG(15),7,7,3,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,.284,.385,.505,.889,1,1.15,0.399,.28,0.06%,1.68,33.00,43.60,CF RF
134,778,136,Aug 31,BOS,@,LAA,L4-10,CG,5,3,1,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,.288,.388,.509,.897,1,.94,0.173,.26,0.03%,1.86,22.00,27.70,CF RF
135,779,137,Sep 1,BOS,@,LAA,W4-3,CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.287,.387,.507,.893,1,.87,0.014,.20,0.00%,0.02,5.00,6.20,RF
136,780,138,Sep 3,BOS,,MIN,L5-6,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.285,.385,.503,.888,1,1.98,-0.203,.53,-0.03%,-1.41,2.00,3.00,RF
137,781,139,Sep 4,BOS,,MIN,W6-2,CG,5,5,2,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,.289,.388,.516,.905,1,.58,0.274,.11,0.03%,3.97,40.00,53.90,RF
138,782,140,Sep 5,BOS,,MIN,L1-2,CG,4,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.291,.389,.524,.913,1,1.75,0.053,.34,0.01%,0.87,19.00,24.70,RF
139,783,141,Sep 6,BOS,,NYY,W6-1,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.289,.388,.521,.909,1,.44,-0.027,.05,0.00%,-0.38,4.00,6.20,RF
140,784,142,Sep 7,BOS,,NYY,L1-5,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.290,.389,.520,.909,1,.77,-0.006,.10,0.00%,-0.21,5.00,6.00,CF
141,785,143,Sep 8,BOS,,NYY,L5-10,CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.291,.389,.525,.914,1,.87,0.032,.06,0.00%,0.86,17.00,21.70,RF
142,786,144,Sep 9,BOS,,NYY,L0-5,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.290,.388,.522,.910,1,.81,-0.083,.01,0.00%,-0.96,3.00,3.00,RF
143,787,145,Sep 10,BOS,@,TOR,L3-4,CG,5,3,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.290,.390,.526,.916,1,1.89,0.067,.02,0.00%,0.89,18.00,24.70,RF
144,788,147 (1),Sep 12,BOS,@,TOR,W7-4,CG,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.293,.391,.527,.918,1,.65,0.025,.00,0.00%,1.03,18.00,21.40,RF
145,789,153 (5),Sep 20,BOS,@,TBR,L4-5,CG(11),5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.291,.388,.522,.911,1,1.40,-0.184,.00,0.00%,-1.11,0.00,0.00,DH
146,790,154,Sep 21,BOS,@,TBR,L4-5,CG(11),5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.292,.388,.521,.910,1,1.07,-0.043,.00,0.00%,-0.27,8.00,9.20,RF
147,791,156 (1),Sep 23,BOS,@,TBR,L4-7,CG,5,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.293,.390,.521,.911,2,1.03,0.033,.00,0.00%,0.41,15.00,18.20,RF
148,792,157,Sep 24,BOS,@,TEX,W12-10,GS-3,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.294,.390,.526,.917,1,.90,0.069,.00,0.00%,0.72,14.00,18.70,RF
149,793,160 (2),Sep 27,BOS,,BAL,L1-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.389,.524,.914,1,.66,-0.007,.00,0.00%,-0.11,3.00,3.00,DH
150,794,162 (1),Sep 29,BOS,,BAL,W5-4,CG,5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.295,.391,.524,.915,1,1.44,0.097,.00,0.00%,0.73,12.00,15.70,RF
